Nearest town,State,latitude,longitude,Severity confidence description,Intense precipitation amount,Intense precipitation period,Total precipitation,Total precipitation duration,Water course,acq_date,acq_time,Year,Month,season
MOUNTAIN BRIDGE,WA,-29.2356,115.0339,Bureau measurement of rainfall.,0.0,0.0,68,24,,2014-09-21,00:00:00,2014,9,1
PERTH,WA,-31.9519,115.8586,Bureau measurement of rainfall.,0.0,0.0,0,0,,2014-10-18,00:00:00,2014,10,1
ELGEE CLIFFS,WA,-16.9606,127.4564,Bureau measurement of rainfall.,0.0,0.0,60,24,,2014-11-08,00:00:00,2014,11,1
GERALDTON,WA,-28.7792,114.6144,Bureau measurement of rainfall.,0.0,0.0,0,0,,2014-11-26,00:00:00,2014,11,1
KONDININ,WA,-32.4936,118.2678,Bureau measurement of rainfall.,0.0,0.0,39,1,,2014-11-27,00:00:00,2014,11,1
DIGGERS REST,WA,-33.5228,121.9622,Bureau measurement of rainfall.,0.0,0.0,121,24,,2014-12-20,00:00:00,2014,12,2
ELLENDALE,WA,-17.9269,124.8119,Bureau measurement of rainfall.,0.0,0.0,83,24,,2015-01-30,00:00:00,2015,1,2
WITTITRIN,NSW,-31.0984,152.6511,Bureau measurement of rainfall.,53.0,60.0,0,0,,2014-12-11,00:05:00,2014,12,2
COFFS HARBOUR,NSW,-30.3151,153.1345,Bureau measurement of rainfall.,37.0,30.0,0,0,,2014-12-11,01:05:00,2014,12,2
THORA,NSW,-30.4317,152.0345,Bureau measurement of rainfall.,35.5,30.0,0,0,,2014-11-25,03:45:00,2014,11,1
UKI,NSW,-28.4234,153.3261,Bureau measurement of rainfall.,36.0,30.0,0,0,,2014-11-26,02:15:00,2014,11,1
YARRAS,NSW,-31.4651,152.3345,Bureau measurement of rainfall.,50.0,60.0,0,0,,2014-12-01,04:30:00,2014,12,2
BAERAMI,NSW,-32.3817,150.4679,Bureau measurement of rainfall.,48.0,60.0,0,0,,2014-12-01,07:15:00,2014,12,2
BOWRAVILLE,NSW,-30.6317,152.8642,Bureau measurement of rainfall.,37.0,30.0,0,0,,2014-12-04,01:40:00,2014,12,2
ARALUEN,NSW,-35.6484,149.8179,Bureau measurement of rainfall.,62.0,30.0,0,0,,2014-12-22,04:15:00,2014,12,2
ARALUEN,NSW,-35.6484,149.8179,Bureau measurement of rainfall.,86.0,60.0,0,0,,2014-12-22,04:05:00,2014,12,2
BUNDANOON,NSW,-34.6556,150.2996,Bureau measurement of rainfall.,58.2,30.0,0,0,,2014-12-23,02:35:00,2014,12,2
YARRAS,NSW,-31.4651,152.3345,Bureau measurement of rainfall.,45.0,30.0,0,0,,2014-12-24,02:45:00,2014,12,2
MILBRODALE,NSW,-32.6984,151.0095,Bureau measurement of rainfall.,54.0,60.0,0,0,,2014-12-25,08:34:00,2014,12,2
TURNERS FLAT,NSW,-31.0151,152.7011,Bureau measurement of rainfall.,36.0,30.0,0,0,,2014-12-26,06:58:00,2014,12,2
PILLAR VALLEY,NSW,-29.7651,153.1178,Bureau measurement of rainfall.,45.0,30.0,0,0,,2014-12-26,07:20:00,2014,12,2
GLENREAGH,NSW,-30.0484,152.9845,Bureau measurement of rainfall.,50.0,60.0,0,0,,2014-12-31,15:20:00,2014,12,2
GOONENGERRY,NSW,-28.5984,153.4345,Bureau measurement of rainfall.,77.0,60.0,0,0,,2014-12-31,15:20:00,2014,12,2
BEN BULLEN,NSW,-33.2151,150.0179,Bureau measurement of rainfall.,37.4,30.0,0,0,,2015-01-02,05:20:00,2015,1,2
NOWRA,NSW,-34.8817,150.6012,Bureau measurement of rainfall.,38.0,15.0,0,0,,2015-01-04,06:00:00,2015,1,2
BARRENGARRY,NSW,-34.7151,150.5346,Bureau measurement of rainfall.,57.0,60.0,0,0,,2015-01-04,07:00:00,2015,1,2
BONYTHON,NSW,-35.4333,149.0833,Other measurement of rainfall.,40.0,60.0,0,0,,2015-01-04,06:40:00,2015,1,2
MERRIWA,NSW,-32.122,150.3303,Bureau measurement of rainfall.,37.0,30.0,0,0,,2015-01-09,03:15:00,2015,1,2
BLACKTOWN,NSW,-33.7706,150.9068,Bureau measurement of rainfall.,51.0,30.0,0,0,,2015-01-09,06:15:00,2015,1,2
TOONGABBIE,NSW,-33.7651,150.9679,Bureau measurement of rainfall.,42.5,30.0,0,0,,2015-01-09,06:15:00,2015,1,2
ULLADULLA,NSW,-35.3484,150.4679,Bureau measurement of rainfall.,35.0,30.0,0,0,,2015-01-09,08:25:00,2015,1,2
NERRIGA,NSW,-35.1317,150.1179,Bureau measurement of rainfall.,36.0,30.0,0,0,,2015-01-09,08:50:00,2015,1,2
COFFS HARBOUR AIRPORT,NSW,-30.3151,153.1178,Bureau measurement of rainfall.,40.5,30.0,0,0,,2015-01-19,08:15:00,2015,1,2
POTTSVILLE,NSW,-28.3984,153.5511,Bureau measurement of rainfall.,62.0,60.0,0,0,,2015-01-19,10:55:00,2015,1,2
KEMPSEY AIRPORT,NSW,-31.0651,152.7678,Bureau measurement of rainfall.,64.0,60.0,0,0,,2015-01-19,11:30:00,2015,1,2
MULLUMBIMBY,NSW,-28.5484,153.5011,Bureau measurement of rainfall.,55.0,60.0,0,0,,2015-01-19,14:20:00,2015,1,2
CAPE BYRON,NSW,-28.6387,153.6361,Bureau measurement of rainfall.,57.0,60.0,0,0,,2015-01-19,17:30:00,2015,1,2
KRAMBACH,NSW,-32.0484,152.2678,Bureau measurement of rainfall.,50.0,60.0,0,0,,2015-01-19,00:53:00,2015,1,2
HARRINGTON,NSW,-31.8651,152.6845,Other measurement of rainfall.,140.0,180.0,0,0,,2015-01-20,04:43:00,2015,1,2
WOOLBROOK,NSW,-30.9651,151.3511,Other measurement of rainfall.,50.0,60.0,0,0,,2015-01-20,05:00:00,2015,1,2
COLLOMBATTI,NSW,-30.8909,152.7147,Bureau measurement of rainfall.,96.0,60.0,0,0,,2015-01-20,09:27:00,2015,1,2
WICKEPIN,WA,-32.7803,117.5053,Bureau measurement of rainfall.,26.8,65.0,0,0,,2015-02-25,08:25:00,2015,2,2
KONDININ,WA,-32.4936,118.2678,Bureau measurement of rainfall.,0.0,0.0,28,24,,2015-02-26,00:00:00,2015,2,2
MOUNT NEWMAN,WA,-28.5008,121.09,Bureau measurement of rainfall.,0.0,0.0,100,24,,2015-02-28,00:00:00,2015,2,2
YAKABINDIE,WA,-27.5756,120.5297,Bureau measurement of rainfall.,0.0,0.0,108,24,,2015-03-02,00:00:00,2015,3,3
Faraway Bay,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,110,24,,2015-03-03,00:00:00,2015,3,3
MINGAH SPRINGS,WA,-24.9472,118.7106,Bureau measurement of rainfall.,0.0,0.0,121,24,,2015-03-03,00:00:00,2015,3,3
PARABURDOO,WA,-23.1958,117.7039,Bureau measurement of rainfall.,0.0,0.0,56,24,,2015-03-07,00:00:00,2015,3,3
Kimberley,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,77,24,,2015-03-09,00:00:00,2015,3,3
TARINA WELL,WA,-26.0075,116.0339,Bureau measurement of rainfall.,0.0,0.0,71,24,,2015-02-24,00:00:00,2015,2,2
ONSLOW,WA,-21.6881,115.1353,Bureau measurement of rainfall.,0.0,0.0,106,24,,2015-03-31,00:00:00,2015,3,3
PORONGURUP ESTATE,WA,-34.6817,117.8419,Bureau measurement of rainfall.,0.0,0.0,88,24,,2015-04-10,00:00:00,2015,4,3
Murrays Flat (Wollondilly River),NSW,-34.7217,149.7933,Bureau measurement of rainfall.,50.0,60.0,0,0,,2015-01-24,03:15:00,2015,1,2
Orange (Bloodwood Winery),NSW,-33.15,149.2,Other measurement of rainfall.,47.0,60.0,0,0,,2015-01-24,03:01:00,2015,1,2
Jingera (Hillside),NSW,-35.7833,149.4167,Bureau measurement of rainfall.,31.8,30.0,0,0,,2015-01-24,06:40:00,2015,1,2
Wooli (Browns Knob),NSW,-29.9125,153.1275,Bureau measurement of rainfall.,38.0,30.0,0,0,,2015-01-25,04:25:00,2015,1,2
Jiggi (Gwynne St),NSW,-28.676,153.1538,Bureau measurement of rainfall.,49.0,30.0,0,0,,2015-01-25,08:40:00,2015,1,2
Inverell,NSW,-29.7752,151.0819,Bureau measurement of rainfall.,30.2,30.0,0,0,,2015-01-26,02:01:00,2015,1,2
Pokolbin,NSW,-32.8126,151.3043,Bureau measurement of rainfall.,26.4,30.0,0,0,,2015-01-27,00:00:05,2015,1,2
Tangory Mountain,NSW,-32.5553,151.379,Bureau measurement of rainfall.,28.2,30.0,0,0,,2015-01-27,02:00:00,2015,1,2
Molong,NSW,-32.9892,148.9318,Bureau measurement of rainfall.,28.2,30.0,0,0,,2015-01-27,01:20:00,2015,1,2
Bylong,NSW,-32.471,150.1059,Bureau measurement of rainfall.,26.0,30.0,0,0,,2015-01-27,02:05:00,2015,1,2
Gresford,NSW,-32.4266,151.5376,Bureau measurement of rainfall.,31.0,30.0,0,0,,2015-01-27,02:40:00,2015,1,2
Nundle,NSW,-31.46,151.13,Bureau measurement of rainfall.,44.2,60.0,0,0,,2015-01-27,03:00:00,2015,1,2
Narrabri (Mt Kaputa),NSW,-30.2838,150.1666,Bureau measurement of rainfall.,30.0,35.6,0,0,,2015-01-27,03:30:00,2015,1,2
Tingha,NSW,-29.9315,151.2945,Bureau measurement of rainfall.,30.0,32.0,0,0,,2015-01-27,05:10:00,2015,1,2
Inverell,NSW,-29.7752,151.0819,Bureau measurement of rainfall.,57.8,60.0,0,0,,2015-01-27,05:30:00,2015,1,2
Inverell,NSW,-29.605,151.267,Bureau measurement of rainfall.,38.0,30.0,0,0,,2015-01-27,06:05:00,2015,1,2
Nabiac (near Foster),NSW,-32.0873,152.3748,Bureau measurement of rainfall.,0.0,0.0,0,0,,2015-02-01,01:00:00,2015,2,2
Wooli,NSW,-29.8919,153.2648,Bureau measurement of rainfall.,73.0,60.0,0,0,,2015-02-01,12:50:00,2015,2,2
Gurya,NSW,-29.9465,151.6066,Bureau measurement of rainfall.,30.0,30.0,0,0,,2015-02-12,04:55:00,2015,2,2
Ulan,NSW,-32.2807,149.741,Bureau measurement of rainfall.,42.0,60.0,0,0,,2015-02-25,07:25:00,2015,2,2
Comboyne,NSW,-31.6061,152.4669,Other measurement of rainfall.,60.0,60.0,0,0,,2015-02-26,07:50:00,2015,2,2
Woolgoolga,NSW,-30.1052,153.1956,Bureau measurement of rainfall.,0.0,0.0,0,0,,2015-03-08,08:25:00,2015,3,3
Grafton,NSW,-29.7583,153.0297,Bureau measurement of rainfall.,30.0,50.0,0,0,,2015-03-09,04:30:00,2015,3,3
Guilford,NSW,-33.8661,150.9937,Bureau measurement of rainfall.,0.0,0.0,0,0,,2015-03-11,08:30:00,2015,3,3
Clarencetown,NSW,-32.5584,151.8043,Bureau measurement of rainfall.,52.0,60.0,0,0,,2015-03-13,23:00:00,2015,3,3
Boambee (Coffs Harbour),NSW,-30.3242,153.0491,Bureau measurement of rainfall.,51.0,60.0,0,0,,2015-03-13,01:00:00,2015,3,3
Toormina (Coffs Harbour),NSW,-30.3525,153.0761,Bureau measurement of rainfall.,52.0,60.0,0,0,,2015-03-13,01:00:00,2015,3,3
Sawtell (Coffs Harbour),NSW,-30.3667,153.0953,Bureau measurement of rainfall.,55.0,60.0,0,0,,2015-03-13,01:00:00,2015,3,3
Bray Street (Coffs Harbour),NSW,-30.2825,153.1219,Bureau measurement of rainfall.,69.0,60.0,0,0,,2015-03-13,01:30:00,2015,3,3
Bukkulla (N of Inverell,NSW,-29.5045,151.1293,Bureau measurement of rainfall.,50.0,60.0,0,0,,2015-03-18,18:20:00,2015,3,3
Coonabarabran AWS,NSW,-31.333,149.2699,Bureau measurement of rainfall.,32.0,20.0,0,0,,2015-03-24,02:25:00,2015,3,3
Wyong (Kangy Angy - Ourimbah ck),NSW,-33.3319,151.3833,Bureau measurement of rainfall.,36.0,30.0,0,0,,2015-03-24,07:35:00,2015,3,3
S. of Newcastle,NSW,0.0,0.0,Other measurement of rainfall.,80.0,90.0,0,0,,2015-03-30,08:00:00,2015,3,3
Macquarie College - Newcastle,NSW,-32.9219,151.6514,Bureau measurement of rainfall.,42.5,30.0,0,0,,2015-04-06,04:45:00,2015,4,3
Tocal AWS,NSW,-32.6296,151.5919,Bureau measurement of rainfall.,112.0,60.0,0,0,,2015-04-21,22:45:00,2015,4,3
Cofs Harbour (Gundagai St),NSW,-30.2939,153.1094,Bureau measurement of rainfall.,70.0,60.0,0,0,,2015-04-28,08:25:00,2015,4,3
Wooli River,NSW,-29.8919,153.2648,Bureau measurement of rainfall.,75.0,60.0,0,0,,2015-04-29,20:55:00,2015,4,3
Wooli River,NSW,-29.8919,153.2648,Bureau measurement of rainfall.,79.0,30.0,0,0,,2015-05-02,08:20:00,2015,5,3
TENNANT CREEK,NT,-19.6511,134.1897,Bureau measurement of rainfall.,54.4,60.0,0,0,,2014-12-03,07:07:00,2014,12,2
GUNN POINT,NT,-12.1718,130.9943,Bureau measurement of rainfall.,117.0,60.0,188,24,,2015-01-23,14:30:00,2015,1,2
KULGERA AIRSTRIP,NT,-25.8431,133.2929,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-06-08,12:30:00,2015,6,4
ALICE SPRINGS,NT,-23.6994,133.8807,Bureau measurement of rainfall.,41.2,60.0,0,0,,2015-01-09,10:30:00,2015,1,2
HUMPTY DOO,NT,-12.5842,131.1258,Bureau measurement of rainfall.,119.0,1.9,0,0,,2015-02-20,00:00:00,2015,2,2
HORSHAM,VIC,-36.7146,142.1981,Other measurement of rainfall.,25.0,45.0,0,0,,2014-01-15,07:05:00,2014,1,2
MILL PARK,VIC,-37.6728,145.061,Other measurement of rainfall.,13.0,10.0,0,0,,2014-01-16,09:40:00,2014,1,2
GEELONG,VIC,-38.1502,144.3558,Bureau measurement of rainfall.,17.0,5.0,0,0,,2014-02-19,07:05:00,2014,2,2
MYRTLEFORD,VIC,-36.5635,146.7262,Other measurement of rainfall.,16.2,30.0,0,0,,2014-03-15,12:30:00,2014,3,3
WYNDHAM VALE,VIC,-37.8644,144.6013,Other measurement of rainfall.,13.0,20.0,0,0,,2014-03-15,08:05:00,2014,3,3
SILVER CREEK,VIC,-36.3787,146.7313,Other measurement of rainfall.,8.0,5.0,0,0,,2014-03-21,03:00:00,2014,3,3
MOUNT BAW BAW,VIC,-37.8398,146.2726,Bureau measurement of rainfall.,14.0,10.0,0,0,,2014-03-21,06:15:00,2014,3,3
BRIGHT,VIC,-36.7306,146.9608,Other measurement of rainfall.,25.0,20.0,0,0,,2014-03-21,05:50:00,2014,3,3
BEECHWORTH,VIC,-36.3642,146.6879,Other measurement of rainfall.,21.6,15.0,0,0,,2014-03-21,07:30:00,2014,3,3
GEELONG,VIC,-38.1502,144.3558,Other measurement of rainfall.,9.0,10.0,0,0,,2014-03-27,07:00:00,2014,3,3
ESSENDON,VIC,-37.7531,144.908,Bureau measurement of rainfall.,8.0,10.0,0,0,,2014-09-09,04:25:00,2014,9,1
GLEN FORBES,VIC,-38.4593,145.5444,Other measurement of rainfall.,21.0,60.0,0,0,,2014-09-09,03:30:00,2014,9,1
MOUNT DELEGATE,VIC,-37.1139,148.8965,Estimate of rainfall (eg. from filling of receptacles).,37.6,60.0,0,0,,2014-12-01,00:00:00,2014,12,2
KANIVA,VIC,-36.3779,141.2386,Estimate of rainfall (eg. from filling of receptacles).,52.0,30.0,0,0,,2014-12-03,06:00:00,2014,12,2
MANSFIELD,VIC,-37.0579,146.0878,Other measurement of rainfall.,54.0,60.0,0,0,,2014-12-05,07:00:00,2014,12,2
WANGARATTA,VIC,-36.3565,146.3154,Bureau measurement of rainfall.,51.2,60.0,0,0,,2014-12-06,04:00:00,2014,12,2
MOORNGAG,VIC,-36.7566,146.0522,Estimate of rainfall (eg. from filling of receptacles).,23.8,30.0,0,0,,2014-12-06,04:00:00,2014,12,2
TATONG,VIC,-36.7242,146.247,Estimate of rainfall (eg. from filling of receptacles).,35.9,30.0,0,0,,2014-12-06,04:00:00,2014,12,2
STRATFORD,VIC,-37.9682,147.0797,Other measurement of rainfall.,61.0,60.0,0,0,,2014-12-07,04:00:00,2014,12,2
PORT CAMPBELL,VIC,-38.6208,142.9953,Estimate of rainfall (eg. from filling of receptacles).,15.0,10.0,0,0,,2015-01-03,06:00:00,2015,1,2
BLACKBURN,VIC,-37.8203,145.1537,Other measurement of rainfall.,37.0,10.0,0,0,,2015-01-07,06:20:00,2015,1,2
TYABB,VIC,-38.2615,145.1849,Other measurement of rainfall.,37.0,10.0,0,0,,2015-01-07,10:08:00,2015,1,2
CERES,VIC,-38.1735,144.2705,Estimate of rainfall (eg. from filling of receptacles).,42.0,60.0,0,0,,2015-01-07,10:08:00,2015,1,2
STRATHDALE,VIC,-36.7616,144.3169,Bureau measurement of rainfall.,53.0,60.0,0,0,,2015-01-09,08:00:00,2015,1,2
MAIDEN GULLY,VIC,-36.7413,144.2157,Bureau measurement of rainfall.,74.0,60.0,0,0,,2015-01-09,08:00:00,2015,1,2
BRIDGEWATER,VIC,-36.6032,143.9436,Bureau measurement of rainfall.,41.0,30.0,0,0,,2015-01-09,08:00:00,2015,1,2
Bendigo,VIC,-36.6032,143.9436,Other measurement of rainfall.,70.0,30.0,0,0,,2015-01-09,08:00:00,2015,1,2
NORTH BENDIGO,VIC,-36.7455,144.2828,Other measurement of rainfall.,50.0,60.0,0,0,,2015-01-09,08:00:00,2015,1,2
LOCKWOOD SOUTH,VIC,-36.9227,144.1221,Other measurement of rainfall.,32.0,60.0,0,0,,2015-01-09,08:00:00,2015,1,2
MOUNT BULLER,VIC,-37.1466,146.4246,Bureau measurement of rainfall.,27.0,30.0,0,0,,2015-01-21,07:00:00,2015,1,2
MCKILLOP BRIDGE,VIC,-37.0857,148.412,Bureau measurement of rainfall.,135.0,120.0,0,0,,2015-02-17,04:30:00,2015,2,2
MYRTLEFORD,VIC,-36.5599,146.7218,Other measurement of rainfall.,25.0,30.0,0,0,,2015-02-23,07:00:00,2015,2,2
CORAL BANK,VIC,-36.6206,147.085,Estimate of rainfall (eg. from filling of receptacles).,40.0,7.0,0,0,,2014-12-05,08:40:00,2014,12,2
WALDARA,VIC,-36.3227,146.2814,Other measurement of rainfall.,50.0,60.0,0,0,,2014-12-06,02:30:00,2014,12,2
Hobart,TAS,-42.89,147.33,Bureau measurement of rainfall.,7.0,7.0,20,24,,2014-12-16,03:30:00,2014,12,2
Hobart,TAS,-42.89,147.33,Bureau measurement of rainfall.,7.0,14.0,20,24,,2014-12-16,05:59:00,2014,12,2
MARRARA,NT,-12.404,130.9104,Bureau measurement of rainfall.,79.6,40.0,89,24,,2015-02-28,17:00:00,2015,2,2
Brighton,TAS,-42.7,147.26,Bureau measurement of rainfall.,20.0,60.0,32,24,,2014-12-10,04:30:00,2014,12,2
Hobart,TAS,-42.89,147.33,Bureau measurement of rainfall.,16.4,10.0,32,24,,2011-12-19,05:25:00,2011,12,2
KINGSTON,TAS,-42.98,147.316,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2012-11-09,00:25:00,2012,11,1
ROKEBY,TAS,-42.9,147.442,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2012-11-09,00:00:00,2012,11,1
PALMERSTON,NT,-12.4808,130.9841,Bureau measurement of rainfall.,66.6,60.0,0,0,,2014-04-10,06:00:00,2014,4,3
TINDAL AIRFIELD,NT,-14.5167,132.3667,Bureau measurement of rainfall.,76.0,60.0,76,24,,2014-12-01,15:00:00,2014,12,2
DARWIN INTERNATIONAL AIRPORT,NT,-12.4101,130.8768,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-02-13,06:45:00,2015,2,2
PARAP,NT,-12.434,130.8448,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-03-27,00:00:00,2015,3,3
Ballarat,VIC,-37.5632,143.8554,Bureau measurement of rainfall.,0.0,0.0,44,24,,2015-02-13,06:30:00,2015,2,2
Balwyn,VIC,-37.8131,145.0818,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-10-11,06:30:00,2015,10,1
YARRA GLEN,VIC,-37.6631,145.3708,Other measurement of rainfall.,0.0,0.0,0,0,,2015-10-10,08:15:00,2015,10,1
BRAYS CREEK,NSW,-28.4067,153.1928,Bureau measurement of rainfall.,43.0,30.0,0,0,,2015-10-13,04:30:00,2015,10,1
NUMURKAH,VIC,-36.0943,145.436,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-11-01,03:50:00,2015,11,1
MURRAYVILLE,VIC,-35.2663,141.1792,Bureau measurement of rainfall.,0.0,0.0,82,24,,2015-11-04,07:00:00,2015,11,1
BULLA,VIC,-37.6377,144.8036,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-11-05,02:15:00,2015,11,1
FLEMINGTON,VIC,-37.7724,144.929,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-11-05,03:15:00,2015,11,1
KEILOR,VIC,-37.6986,144.8237,Bureau measurement of rainfall.,30.8,60.0,0,0,,2015-11-05,02:30:00,2015,11,1
GLENCAIRN,VIC,-37.514,146.5474,Bureau measurement of rainfall.,41.0,60.0,62,24,,2015-11-12,04:00:00,2015,11,1
CARBOOR UPPER,VIC,-36.6418,146.5453,Bureau measurement of rainfall.,65.0,60.0,95,24,,2015-12-08,06:00:00,2015,12,2
EUROBIN,VIC,-36.6404,146.8624,Bureau measurement of rainfall.,42.4,60.0,85,24,,2015-12-08,06:26:00,2015,12,2
OVENS,VIC,-36.5906,146.7597,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2015-12-08,06:15:00,2015,12,2
STEEP POINT,WA,-26.1431,113.1589,Bureau measurement of rainfall.,0.0,0.0,132,24,,2015-06-17,00:00:00,2015,6,4
TAMALA,WA,-26.6981,113.7158,Bureau measurement of rainfall.,0.0,0.0,49,24,,2015-06-17,00:00:00,2015,6,4
USELESS LOOP,WA,-26.1322,113.4167,Bureau measurement of rainfall.,0.0,0.0,20,24,,2015-06-17,00:00:00,2015,6,4
USELESS LOOP,WA,-26.1322,113.4167,Bureau measurement of rainfall.,0.0,0.0,109,24,,2015-06-18,00:00:00,2015,6,4
SHARK BAY,WA,-25.4744,113.4878,Bureau measurement of rainfall.,0.0,0.0,59,24,,2015-06-18,00:00:00,2015,6,4
CAREY DOWNS,WA,-25.6114,115.4614,Bureau measurement of rainfall.,0.0,0.0,57,24,,2015-06-18,00:00:00,2015,6,4
CARNARVON,WA,-24.8903,113.66,Bureau measurement of rainfall.,0.0,0.0,57,24,,2015-06-18,00:00:00,2015,6,4
JINDONG,WA,-33.7411,115.2417,Bureau measurement of rainfall.,0.0,0.0,84,24,,2015-05-17,00:00:00,2015,5,3
ACTON PARK,WA,-33.7611,115.3708,Bureau measurement of rainfall.,0.0,0.0,79,24,,2015-05-17,00:00:00,2015,5,3
CHAPMAN HILL,WA,-33.8056,115.3331,Bureau measurement of rainfall.,0.0,0.0,78,24,,2015-05-17,00:00:00,2015,5,3
CHAPMAN HILL,WA,-33.7783,115.3272,Bureau measurement of rainfall.,0.0,0.0,77,24,,2015-05-17,00:00:00,2015,5,3
WHICHER RANGE,WA,-33.8275,115.3889,Bureau measurement of rainfall.,0.0,0.0,75,24,,2015-05-17,00:00:00,2015,5,3
Aston Downs Alert,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,68,24,,2015-05-17,00:00:00,2015,5,3
LUDLOW,WA,-33.6097,115.4867,Bureau measurement of rainfall.,0.0,0.0,62,24,,2015-05-17,00:00:00,2015,5,3
Capel North,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,60,24,,2015-05-17,00:00:00,2015,5,3
CAPE LEEUWIN,WA,-34.3767,115.1358,Bureau measurement of rainfall.,0.0,0.0,60,24,,2015-05-17,00:00:00,2015,5,3
CAPE NATURALISTE,WA,-33.5314,115.0025,Bureau measurement of rainfall.,0.0,0.0,58,24,,2015-05-17,00:00:00,2015,5,3
MARGARET RIVER,WA,-33.955,115.075,Bureau measurement of rainfall.,0.0,0.0,107,72,,2015-05-18,00:00:00,2015,5,3
WANNEROO,WA,-31.7472,115.8031,Bureau measurement of rainfall.,0.0,0.0,80,72,,2015-05-18,00:00:00,2015,5,3
BUSSELTON SHIRE,WA,-33.6481,115.3458,Bureau measurement of rainfall.,0.0,0.0,80,72,,2015-05-18,00:00:00,2015,5,3
KARRAGULLEN,WA,-32.0908,116.1217,Bureau measurement of rainfall.,0.0,0.0,61,24,,2015-05-18,00:00:00,2015,5,3
BICKLEY,WA,-32.0081,116.0906,Bureau measurement of rainfall.,0.0,0.0,61,24,,2015-05-18,00:00:00,2015,5,3
HUNTLY,WA,-32.5894,116.0625,Bureau measurement of rainfall.,0.0,0.0,60,24,,2015-05-18,00:00:00,2015,5,3
ROLEYSTONE,WA,-32.1131,116.0739,Bureau measurement of rainfall.,0.0,0.0,57,24,,2015-05-18,00:00:00,2015,5,3
GOSNELLS,WA,-32.0719,115.9947,Bureau measurement of rainfall.,0.0,0.0,56,24,,2015-05-18,00:00:00,2015,5,3
JINDONG,WA,-33.7411,115.2417,Bureau measurement of rainfall.,56.8,0.0,0,0,,2015-06-19,19:45:00,2015,6,4
WILYABRUP,WA,-33.7956,115.0461,Bureau measurement of rainfall.,43.0,180.0,0,0,,2015-07-03,00:21:00,2015,7,4
MYALUP,WA,-33.1019,115.6939,Bureau measurement of rainfall.,39.0,60.0,0,0,,2015-07-19,10:32:00,2015,7,4
PEMBERTON,WA,-34.4461,116.0356,Bureau measurement of rainfall.,27.8,60.0,0,0,,2015-07-19,07:31:00,2015,7,4
MYALUP,WA,-33.1019,115.6939,Bureau measurement of rainfall.,0.0,0.0,91,24,,2015-07-19,00:00:00,2015,7,4
PEMBERTON,WA,-34.4461,116.0356,Bureau measurement of rainfall.,0.0,0.0,83,24,,2015-07-19,00:00:00,2015,7,4
ERADU,WA,-28.6958,115.0461,Bureau measurement of rainfall.,0.0,0.0,63,24,,2015-07-19,00:00:00,2015,7,4
BEDFORD DOWNS,WA,-17.2614,127.4642,Bureau measurement of rainfall.,0.0,0.0,71,24,,2016-01-12,00:00:00,2016,1,2
KONNONGORRING,WA,-31.0425,116.7744,Bureau measurement of rainfall.,0.0,0.0,62,24,,2015-11-06,00:00:00,2015,11,1
BERRING,WA,-31.2639,116.91,Bureau measurement of rainfall.,0.0,0.0,60,24,,2015-11-06,00:00:00,2015,11,1
MUKINBUDIN,WA,-30.9142,118.2067,Bureau measurement of rainfall.,0.0,0.0,58,24,,2015-11-06,00:00:00,2015,11,1
,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,0,0,,2015-11-08,00:00:00,2015,11,1
LAKE GRACE,WA,-33.1003,118.4608,Bureau measurement of rainfall.,0.0,0.0,75,24,,2015-12-05,00:00:00,2015,12,2
CAPEL RIVER NORTH,WA,-33.6517,115.7514,Bureau measurement of rainfall.,0.0,0.0,118,24,,2015-07-31,00:00:00,2015,7,4
COOROW WEST,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,95,24,,2015-07-31,00:00:00,2015,7,4
BINDI BINDI,WA,-30.6308,116.3647,Bureau measurement of rainfall.,0.0,0.0,94,24,,2015-07-31,00:00:00,2015,7,4
JARRAHWOOD,WA,-33.7961,115.6672,Bureau measurement of rainfall.,0.0,0.0,93,24,,2015-07-31,00:00:00,2015,7,4
SOMME CREEK,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,90,24,,2015-07-31,00:00:00,2015,7,4
WARRADARGE EAST,WA,0.0,0.0,Bureau measurement of rainfall.,0.0,0.0,89,24,,2015-07-31,00:00:00,2015,7,4
